video,link,title,channel,category,amout of speaking,note
V1,youtu.be/4rNo-UuGDfA,Meek Mill - Believe (feat. Justin Timberlake) [Official Music Video],Meek Mill,Music,low,MV
V2,youtu.be/ZtkSYY9Z2fE,Wuhan coronavirus kills doctor who warned of outbreak,CNN,News & Politics,high,
V3,youtu.be/Z3tIR1OwB_I,Peanut Butter and Jelly Pizza Recipe | Mythical Kitchen,Mythical Kitchen,Howto & Style,high,recipe
V4,youtu.be/VS38totvHG4,FULL TOUR OF MY SUPERCAR COLLECTION!!,TheStradman,Autos & Vehicles,high,vlog
V5,youtu.be/qvSx_1WVWiM,Eminem Performs 'Lose Yourself' at Oscars 2020,ABC,Entertainment,low,live performence
V6,youtu.be/aWyKOFW7edg,Samsung Galaxy S20 and S20 Ultra hands-on,The Verge,Science & Technology,high,
V7,youtu.be/hfzSedylBog,Water Bottle Flip 3 | Dude Perfect,Dude Perfect,Sports,mid,
V8,youtu.be/87zXvSCmSYk,Joaquin Phoenix Accepts the Oscar for Lead Actor,ABC,Entertainment,high,speech
V9,youtu.be/_C0jv_cXrj8,Rainbow Six Siege: Operation Void Edge ‚Äì New Operators Reveal Trailer | Ubisoft¬†[NA],Ubisoft North America,Gaming,mid,trailer
V10,youtu.be/oakWgLqCwUc,Milk. White Poison or Healthy Drink?,Kurzgesagt – In a Nutshell,Education,high,
V11,youtu.be/FdT9ojLQZpY,My Friends and I Crashed the Santa Monica Pier with Jordan Matter | Charli D‚ÄôAmelio,charli d'amelio,People & Blogs,mid,
V12,youtu.be/LXrWIFYdtCE,Tom Holland Surprises Chris Pratt,Jimmy Kimmel Live,Comedy,high,
V13,youtu.be/c-yRN55iaQY,Lil Nas X - Rodeo (ft. Nas) [Official Video],Lil Nas X,Music,low,MV
V14,youtu.be/HneuzapPRDY,VLOG SQUAD EATS NEW YORK'S CRAZIEST FOODS!!,Jason Nash,Comedy,high,
V15,youtu.be/JQV0jxnCBQ4,"LAKERS at NETS | FULL GAME HIGHLIGHTS | January 23, 2020",NBA,Sports,high,
V16,youtu.be/Ty92wz0K-CM,Watch Nancy Pelosi Rip Up Copy Of President Donald Trump‚Äôs State Of The Union Speech | NBC News,NBC News,News & Politics,mid,
V17,youtu.be/F6ik8yFVyaU,Chris Makes Breakfast Sandwiches | From the Test Kitchen | Bon App√©tit,Bon Appétit,Howto & Style,high,
V18,youtu.be/SxrjdTfR6cI,TWISTED Cuban LECHON in Cuba!!! Pork Hammock!!,Best Ever Food Review Show,Travel & Events,high,
V19,youtu.be/Z743oNzfIcY,Even Thinner Than AirPods...,Unbox Therapy,Science & Technology,high,
V20,youtu.be/AnhzGUcENWo,Jeep¬Æ | ‚ÄúGroundhog Day‚Äù | Bill Murray | 02.02.2020,Jeep,Autos & Vehicles,low,advertisement
V21,youtu.be/jGHQr2yy_4U,Los Angeles Lakers Pay Tribute To Kobe Bryant,NBA,Sports,low,
